team_pair,num_goals,num_matchups,avg_goals_per_game
FC Barcelona_Real Betis Balompié,77.0,14,5.5
Arsenal FC_Liverpool FC,73.0,15,4.87
Bayern Munich_SV Werder Bremen,70.0,12,5.83
Bayern Munich_VfL Wolfsburg,66.0,13,5.08
Borussia Mönchengladbach_TSG 1899 Hoffenheim,65.0,13,5.0
Borussia Dortmund_FC Augsburg,65.0,12,5.42
Bayern Munich_Borussia Dortmund,65.0,13,5.0
1.FSV Mainz 05_Bayern Munich,65.0,13,5.0
Celta de Vigo_FC Barcelona,64.0,13,4.92
Celta de Vigo_Real Madrid,63.0,12,5.25
Borussia Dortmund_Eintracht Frankfurt,62.0,13,4.77
Real Madrid_Real Sociedad,62.0,12,5.17
Bayer 04 Leverkusen_Borussia Dortmund,61.0,11,5.55
Montpellier HSC_Olympique Lyon,60.0,10,6.0
Liverpool FC_Manchester City,60.0,13,4.62
Manchester City_Newcastle United,59.0,12,4.92
Bologna FC 1909_SSC Napoli,59.0,12,4.92
Borussia Dortmund_Borussia Mönchengladbach,59.0,11,5.36
1.FSV Mainz 05_TSG 1899 Hoffenheim,59.0,11,5.36
Real Madrid_Sevilla FC,57.0,11,5.18
